*******************************************************************************
JPL/HORIZONS                  ATLAS (C/2025 N1)            2025-Sep-08 08:50:00
Rec #:90004912 (+COV) Soln.date: 2025-Aug-15_16:14:02      # obs: 539 (82 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460875.5 ! 2025-Jul-19.0000000 (TDB)    RMSW= n.a.
   EC= 6.13941773560135    QR= 1.356384536873145   TP= 2460977.981374572
   OM= 322.1568424910531   W= 128.0105136667548    IN= 175.1131048023619
   A= -.2639179390842877   MA= -24.9817760633083   ADIST= 9.999999E99
   PER= 9.999999E99        N= 7.269435828          ANGMOM= .053530864
   DAN= -3.48251           DDN= 2.02561            L= 194.0450439
   B= 3.8486005            MOID= .36489099         TP= 2025-Oct-29.4813745720
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.
COMET comments 
1: soln ref.= JPL#25, data arc: 2025-05-22 to 2025-08-12
2: k1=4.5;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Sep  8 08:50:00 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: ATLAS (C/2025 N1)               {source: JPL#25}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Paranal
*******************************************************************************
Start time      : A.D. 2025-Sep-02 22:00:00.0000 UT      
Stop  time      : A.D. 2025-Sep-03 04:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.5957, -24.6272128, 2.63514  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.5957,5803.73915,-2642.69127 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
Calendar mode   : Mixed Julian/Gregorian
RTS-only print  : NO       
EOP file        : eop.250905.p251201                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-05. PREDICTS-> 2025-NOV-30
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation ( 20.0deg=YES),Airmass (< 2.600=YES),Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460875.5 ! 2025-Jul-19.0000000 (TDB)    RMSW= n.a.                  
   EC= 6.13941773560135    QR= 1.356384536873145   TP= 2460977.981374572       
   OM= 322.1568424910531   W= 128.0105136667548    IN= 175.1131048023619       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 2.541783370443595E-02  Y=-3.690024178861544E+00  Z=-1.313673994656487E+00
  VX=-1.386122878612450E-02 VY= 3.071572855083918E-02 VZ= 1.169319494209796E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , , R.A._____(ICRF), DEC______(ICRF),  dRA*cosD, d(DEC)/dt,    T-mag,  N-mag,                r,       rdot,             delta,     deldot,
************************************************************************************************************************************************************************************
$$SOE
 2025-Sep-02 22:00:00, 2460921.416666667,*,m, 15 25 01.509840, -14 15 16.00454,  -86.9921,  17.28774,   16.107,   n.a.,   2.457968033745,-51.5870719,  2.56979954085985, -4.7811407,
 2025-Sep-02 22:01:00, 2460921.417361111,*,m, 15 25 01.410150, -14 15 15.71352,  -86.9910,  17.28866,   16.107,   n.a.,   2.457947343153,-51.5868988,  2.56979762344066, -4.7792092,
 2025-Sep-02 22:02:00, 2460921.418055556,*,m, 15 25 01.310461, -14 15 15.42249,  -86.9899,  17.28958,   16.107,   n.a.,   2.457926652631,-51.5867256,  2.56979570679592, -4.7772792,
 2025-Sep-02 22:03:00, 2460921.418750000,*,m, 15 25 01.210774, -14 15 15.13144,  -86.9887,  17.29049,   16.107,   n.a.,   2.457905962179,-51.5865525,  2.56979379092506, -4.7753507,
 2025-Sep-02 22:04:00, 2460921.419444445,*,m, 15 25 01.111088, -14 15 14.84038,  -86.9875,  17.29141,   16.107,   n.a.,   2.457885271796,-51.5863793,  2.56979187582748, -4.7734236,
 2025-Sep-02 22:05:00, 2460921.420138889,*,m, 15 25 01.011404, -14 15 14.54931,  -86.9863,  17.29233,   16.107,   n.a.,   2.457864581482,-51.5862062,  2.56978996150254, -4.7714982,
 2025-Sep-02 22:06:00, 2460921.420833333,*,m, 15 25 00.911721, -14 15 14.25821,  -86.9851,  17.29325,   16.107,   n.a.,   2.457843891238,-51.5860330,  2.56978804794964, -4.7695743,
 2025-Sep-02 22:07:00, 2460921.421527778,*,m, 15 25 00.812040, -14 15 13.96711,  -86.9839,  17.29416,   16.107,   n.a.,   2.457823201064,-51.5858598,  2.56978613516811, -4.7676520,
 2025-Sep-02 22:08:00, 2460921.422222222,*,m, 15 25 00.712360, -14 15 13.67598,  -86.9827,  17.29508,   16.107,   n.a.,   2.457802510959,-51.5856866,  2.56978422315731, -4.7657314,
 2025-Sep-02 22:09:00, 2460921.422916667,*,m, 15 25 00.612681, -14 15 13.38485,  -86.9814,  17.29599,   16.107,   n.a.,   2.457781820924,-51.5855135,  2.56978231191657, -4.7638125,
 2025-Sep-02 22:10:00, 2460921.423611111,*,m, 15 25 00.513004, -14 15 13.09369,  -86.9802,  17.29691,   16.107,   n.a.,   2.457761130959,-51.5853403,  2.56978040144520, -4.7618953,
 2025-Sep-02 22:11:00, 2460921.424305555,*,m, 15 25 00.413328, -14 15 12.80253,  -86.9789,  17.29782,   16.107,   n.a.,   2.457740441063,-51.5851671,  2.56977849174250, -4.7599799,
 2025-Sep-02 22:12:00, 2460921.425000000,*,m, 15 25 00.313654, -14 15 12.51134,  -86.9776,  17.29873,   16.107,   n.a.,   2.457719751237,-51.5849939,  2.56977658280777, -4.7580662,
 2025-Sep-02 22:13:00, 2460921.425694444,*,m, 15 25 00.213982, -14 15 12.22014,  -86.9763,  17.29964,   16.107,   n.a.,   2.457699061480,-51.5848207,  2.56977467464027, -4.7561544,
 2025-Sep-02 22:14:00, 2460921.426388889,*,m, 15 25 00.114311, -14 15 11.92893,  -86.9749,  17.30055,   16.107,   n.a.,   2.457678371793,-51.5846475,  2.56977276723928, -4.7542444,
 2025-Sep-02 22:15:00, 2460921.427083333,*,m, 15 25 00.014641, -14 15 11.63770,  -86.9736,  17.30146,   16.107,   n.a.,   2.457657682176,-51.5844743,  2.56977086060403, -4.7523364,
 2025-Sep-02 22:16:00, 2460921.427777778,*,m, 15 24 59.914973, -14 15 11.34646,  -86.9722,  17.30237,   16.107,   n.a.,   2.457636992628,-51.5843011,  2.56976895473377, -4.7504302,
 2025-Sep-02 22:17:00, 2460921.428472222,*,m, 15 24 59.815307, -14 15 11.05520,  -86.9709,  17.30327,   16.107,   n.a.,   2.457616303150,-51.5841278,  2.56976704962771, -4.7485260,
