*******************************************************************************
JPL/HORIZONS                  ATLAS (C/2025 N1)            2025-Sep-15 09:16:32
Rec #:90004914 (+COV) Soln.date: 2025-Sep-08_18:29:13     # obs: 603 (104 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460878.5 ! 2025-Jul-22.0000000 (TDB)    RMSW= n.a.
   EC= 6.139587836355706   QR= 1.356419039495192   TP= 2460977.9814392594
   OM= 322.1568699043938   W= 128.0099421020839    IN= 175.1131015287974
   A= -.26391591751781     MA= -3.18224798181177   ADIST= 9.999999E99
   PER= 9.999999E99        N= 7.269519353          ANGMOM= .053532183
   DAN= -3.48262           DDN= 2.02568            L= 194.0456433
   B= 3.8486331            MOID= .36415401         TP= 2025-Oct-29.4814392594
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.
COMET comments 
1: soln ref.= JPL#26, data arc: 2025-05-15 to 2025-08-27
2: k1=4.5;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Sep 15 09:16:32 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: ATLAS (C/2025 N1)               {source: JPL#26}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Paranal
*******************************************************************************
Start time      : A.D. 2025-Sep-08 22:00:00.0000 UT      
Stop  time      : A.D. 2025-Sep-09 04:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.5957, -24.6272128, 2.63514  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.5957,5803.73915,-2642.69127 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
Calendar mode   : Mixed Julian/Gregorian
RTS-only print  : NO       
EOP file        : eop.250912.p251208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-12. PREDICTS-> 2025-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation ( 20.0deg=YES),Airmass (< 2.600=YES),Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460878.5 ! 2025-Jul-22.0000000 (TDB)    RMSW= n.a.                  
   EC= 6.139587836355706   QR= 1.356419039495192   TP= 2460977.9814392594      
   OM= 322.1568699043938   W= 128.0099421020839    IN= 175.1131015287974       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.616994368572366E-02  Y=-3.597814381333365E+00  Z=-1.278571631651561E+00
  VX=-1.386152884723053E-02 VY= 3.077166736535444E-02 VZ= 1.171310239604216E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , , R.A._____(ICRF), DEC______(ICRF),  dRA*cosD, d(DEC)/dt,    T-mag,  N-mag,                r,       rdot,             delta,     deldot,
************************************************************************************************************************************************************************************
$$SOE
 2025-Sep-08 22:00:00, 2460927.416666667,*, , 15 11 09.879067, -13 33 04.19333,  -82.8481,  17.62300,   15.949,   n.a.,   2.282042475140,-49.8911606,  2.55496565712949, -3.7101946,
 2025-Sep-08 22:01:00, 2460927.417361111,*, , 15 11 09.784416, -13 33 03.89702,  -82.8464,  17.62383,   15.949,   n.a.,   2.282022464828,-49.8909390,  2.55496416926920, -3.7084235,
 2025-Sep-08 22:02:00, 2460927.418055556,*, , 15 11 09.689766, -13 33 03.60069,  -82.8447,  17.62466,   15.949,   n.a.,   2.282002454605,-49.8907174,  2.55496268211876, -3.7066551,
 2025-Sep-08 22:03:00, 2460927.418750000,*, , 15 11 09.595118, -13 33 03.30435,  -82.8430,  17.62548,   15.949,   n.a.,   2.281982444472,-49.8904957,  2.55496119567710, -3.7048895,
 2025-Sep-08 22:04:00, 2460927.419444445,*, , 15 11 09.500472, -13 33 03.00800,  -82.8412,  17.62630,   15.949,   n.a.,   2.281962434427,-49.8902741,  2.55495970994310, -3.7031266,
 2025-Sep-08 22:05:00, 2460927.420138889,*, , 15 11 09.405828, -13 33 02.71164,  -82.8395,  17.62712,   15.949,   n.a.,   2.281942424472,-49.8900524,  2.55495822491566, -3.7013666,
 2025-Sep-08 22:06:00, 2460927.420833333,*, , 15 11 09.311186, -13 33 02.41526,  -82.8377,  17.62794,   15.949,   n.a.,   2.281922414605,-49.8898308,  2.55495674059365, -3.6996093,
 2025-Sep-08 22:07:00, 2460927.421527778,*, , 15 11 09.216547, -13 33 02.11887,  -82.8360,  17.62876,   15.949,   n.a.,   2.281902404828,-49.8896091,  2.55495525697591, -3.6978550,
 2025-Sep-08 22:08:00, 2460927.422222222,*, , 15 11 09.121909, -13 33 01.82246,  -82.8342,  17.62958,   15.949,   n.a.,   2.281882395139,-49.8893874,  2.55495377406130, -3.6961035,
 2025-Sep-08 22:09:00, 2460927.422916667,*, , 15 11 09.027273, -13 33 01.52604,  -82.8324,  17.63039,   15.949,   n.a.,   2.281862385540,-49.8891657,  2.55495229184865, -3.6943549,
 2025-Sep-08 22:10:00, 2460927.423611111,*, , 15 11 08.932640, -13 33 01.22961,  -82.8305,  17.63121,   15.949,   n.a.,   2.281842376029,-49.8889440,  2.55495081033677, -3.6926094,
 2025-Sep-08 22:11:00, 2460927.424305555,*, , 15 11 08.838009, -13 33 00.93316,  -82.8287,  17.63202,   15.949,   n.a.,   2.281822366608,-49.8887224,  2.55494932952447, -3.6908668,
 2025-Sep-08 22:12:00, 2460927.425000000,*, , 15 11 08.743379, -13 33 00.63670,  -82.8269,  17.63283,   15.949,   n.a.,   2.281802357276,-49.8885007,  2.55494784941055, -3.6891272,
 2025-Sep-08 22:13:00, 2460927.425694444,*, , 15 11 08.648752, -13 33 00.34023,  -82.8250,  17.63364,   15.949,   n.a.,   2.281782348032,-49.8882789,  2.55494636999378, -3.6873907,
 2025-Sep-08 22:14:00, 2460927.426388889,*, , 15 11 08.554127, -13 33 00.04374,  -82.8231,  17.63445,   15.949,   n.a.,   2.281762338878,-49.8880572,  2.55494489127293, -3.6856573,
 2025-Sep-08 22:15:00, 2460927.427083333,*, , 15 11 08.459505, -13 32 59.74724,  -82.8212,  17.63526,   15.949,   n.a.,   2.281742329813,-49.8878355,  2.55494341324676, -3.6839270,
 2025-Sep-08 22:16:00, 2460927.427777778,*, , 15 11 08.364884, -13 32 59.45073,  -82.8193,  17.63606,   15.949,   n.a.,   2.281722320837,-49.8876138,  2.55494193591400, -3.6821999,
 2025-Sep-08 22:17:00, 2460927.428472222,*, , 15 11 08.270266, -13 32 59.15420,  -82.8174,  17.63687,   15.949,   n.a.,   2.281702311949,-49.8873921,  2.55494045927339, -3.6804759,
