*******************************************************************************
JPL/HORIZONS                  ATLAS (C/2025 N1)            2025-Sep-17 14:34:56
Rec #:90004914 (+COV) Soln.date: 2025-Sep-08_18:29:13     # obs: 603 (104 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460878.5 ! 2025-Jul-22.0000000 (TDB)    RMSW= n.a.
   EC= 6.139587836355706   QR= 1.356419039495192   TP= 2460977.9814392594
   OM= 322.1568699043938   W= 128.0099421020839    IN= 175.1131015287974
   A= -.26391591751781     MA= -3.18224798181177   ADIST= 9.999999E99
   PER= 9.999999E99        N= 7.269519353          ANGMOM= .053532183
   DAN= -3.48262           DDN= 2.02568            L= 194.0456433
   B= 3.8486331            MOID= .36415401         TP= 2025-Oct-29.4814392594
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.
COMET comments 
1: soln ref.= JPL#26, data arc: 2025-05-15 to 2025-08-27
2: k1=4.5;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 14:34:56 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: ATLAS (C/2025 N1)               {source: JPL#26}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Paranal
*******************************************************************************
Start time      : A.D. 2025-Sep-11 22:00:00.0000 UT      
Stop  time      : A.D. 2025-Sep-12 04:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.5957, -24.6272128, 2.63514  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.5957,5803.73915,-2642.69127 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
Calendar mode   : Mixed Julian/Gregorian
RTS-only print  : NO       
EOP file        : eop.250916.p251212                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-16. PREDICTS-> 2025-DEC-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation ( 20.0deg=YES),Airmass (< 2.600=YES),Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460878.5 ! 2025-Jul-22.0000000 (TDB)    RMSW= n.a.                  
   EC= 6.139587836355706   QR= 1.356419039495192   TP= 2460977.9814392594      
   OM= 322.1568699043938   W= 128.0099421020839    IN= 175.1131015287974       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.616994368572366E-02  Y=-3.597814381333365E+00  Z=-1.278571631651561E+00
  VX=-1.386152884723053E-02 VY= 3.077166736535444E-02 VZ= 1.171310239604216E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , , R.A._____(ICRF), DEC______(ICRF),  dRA*cosD, d(DEC)/dt,    T-mag,  N-mag,                r,       rdot,             delta,     deldot,
************************************************************************************************************************************************************************************
$$SOE
 2025-Sep-11 22:00:00, 2460930.416666667,*, , 15 04 29.994212, -13 11 45.60304,  -80.8492,  17.73221,   15.869,   n.a.,   2.196463069937,-48.8708620,  2.54851551215747, -3.4584271,
 2025-Sep-11 22:01:00, 2460930.417361111,*, , 15 04 29.901980, -13 11 45.30504,  -80.8473,  17.73299,   15.869,   n.a.,   2.196443468869,-48.8706106,  2.54851412527219, -3.4567515,
 2025-Sep-11 22:02:00, 2460930.418055556,*, , 15 04 29.809750, -13 11 45.00704,  -80.8453,  17.73376,   15.869,   n.a.,   2.196423867903,-48.8703591,  2.54851273905838, -3.4550791,
 2025-Sep-11 22:03:00, 2460930.418750000,*, , 15 04 29.717523, -13 11 44.70902,  -80.8433,  17.73454,   15.869,   n.a.,   2.196404267037,-48.8701077,  2.54851135351470, -3.4534101,
 2025-Sep-11 22:04:00, 2460930.419444445,*, , 15 04 29.625298, -13 11 44.41099,  -80.8413,  17.73531,   15.869,   n.a.,   2.196384666273,-48.8698562,  2.54850996863983, -3.4517444,
 2025-Sep-11 22:05:00, 2460930.420138889,*, , 15 04 29.533075, -13 11 44.11294,  -80.8393,  17.73608,   15.869,   n.a.,   2.196365065609,-48.8696048,  2.54850858443240, -3.4500821,
 2025-Sep-11 22:06:00, 2460930.420833333,*, , 15 04 29.440855, -13 11 43.81489,  -80.8373,  17.73684,   15.869,   n.a.,   2.196345465046,-48.8693533,  2.54850720089105, -3.4484233,
 2025-Sep-11 22:07:00, 2460930.421527778,*, , 15 04 29.348637, -13 11 43.51682,  -80.8353,  17.73761,   15.869,   n.a.,   2.196325864584,-48.8691018,  2.54850581801440, -3.4467679,
 2025-Sep-11 22:08:00, 2460930.422222222,*, , 15 04 29.256421, -13 11 43.21873,  -80.8333,  17.73838,   15.869,   n.a.,   2.196306264223,-48.8688503,  2.54850443580105, -3.4451160,
 2025-Sep-11 22:09:00, 2460930.422916667,*, , 15 04 29.164208, -13 11 42.92064,  -80.8312,  17.73914,   15.869,   n.a.,   2.196286663964,-48.8685989,  2.54850305424960, -3.4434676,
 2025-Sep-11 22:10:00, 2460930.423611111,*, , 15 04 29.071997, -13 11 42.62253,  -80.8291,  17.73990,   15.869,   n.a.,   2.196267063805,-48.8683474,  2.54850167335864, -3.4418227,
 2025-Sep-11 22:11:00, 2460930.424305555,*, , 15 04 28.979788, -13 11 42.32441,  -80.8270,  17.74066,   15.869,   n.a.,   2.196247463747,-48.8680959,  2.54850029312674, -3.4401815,
 2025-Sep-11 22:12:00, 2460930.425000000,*, , 15 04 28.887582, -13 11 42.02628,  -80.8249,  17.74142,   15.869,   n.a.,   2.196227863790,-48.8678443,  2.54849891355244, -3.4385438,
 2025-Sep-11 22:13:00, 2460930.425694444,*, , 15 04 28.795378, -13 11 41.72813,  -80.8228,  17.74218,   15.869,   n.a.,   2.196208263934,-48.8675928,  2.54849753463431, -3.4369098,
 2025-Sep-11 22:14:00, 2460930.426388889,*, , 15 04 28.703177, -13 11 41.42998,  -80.8207,  17.74293,   15.869,   n.a.,   2.196188664179,-48.8673413,  2.54849615637087, -3.4352794,
 2025-Sep-11 22:15:00, 2460930.427083333,*, , 15 04 28.610978, -13 11 41.13181,  -80.8186,  17.74368,   15.869,   n.a.,   2.196169064525,-48.8670898,  2.54849477876063, -3.4336528,
 2025-Sep-11 22:16:00, 2460930.427777778,*, , 15 04 28.518782, -13 11 40.83362,  -80.8164,  17.74444,   15.869,   n.a.,   2.196149464972,-48.8668382,  2.54849340180212, -3.4320299,
 2025-Sep-11 22:17:00, 2460930.428472222,*, , 15 04 28.426588, -13 11 40.53543,  -80.8142,  17.74519,   15.869,   n.a.,   2.196129865520,-48.8665867,  2.54849202549383, -3.4304108,
