lambda_vac_A,A_ul,upper_id,lower_id,g_upper,g_lower,E_cm1,E_lower_cm1
2501.8858,68000000.0,x5Do_J3,a5D_J4,7.0,9.0,39969.84994279115,0.0
2523.60829,213000000.0,x5Do_J4,a5D_J4,9.0,9.0,39625.80103903526,0.0
2528.19462,193000000.0,x5Do_J3,a5D_J3,7.0,7.0,39553.91693698011,415.93
2546.74272,72000000.0,x5Do_J3,a5D_J2,7.0,5.0,39265.84307660256,704.01
2550.37839,23100000.0,x5Do_J4,a5D_J3,9.0,7.0,39209.86799139245,415.93
2611.53023,360000.0,y3Do_J1,a5D_J2,3.0,5.0,38291.72599698377,704.01
2613.55211,510000.0,y3Do_J2,a5D_J3,5.0,7.0,38262.102989023624,415.93
2619.49124,521000.0,y3Do_J3,a5D_J4,7.0,9.0,38175.35194353237,0.0
2624.14839,860000.0,y3Do_J1,a5D_J1,3.0,3.0,38107.60107205676,888.13
2630.35659,2000000.0,y3Do_J1,a5D_J0,3.0,1.0,38017.65904295129,978.07
2633.37872,900000.0,y3Do_J2,a5D_J2,5.0,5.0,37974.029045089264,704.01
2646.20942,338000.0,y3Do_J2,a5D_J1,5.0,3.0,37789.90402052155,888.13
2648.34583,520000.0,y3Do_J3,a5D_J3,7.0,7.0,37759.419055931976,415.93
2668.70591,169000.0,y3Do_J3,a5D_J2,7.0,5.0,37471.3450535282,704.01
2690.86696,253000.0,y3Fo_J3,a5D_J4,7.0,9.0,37162.74401020554,0.0
2695.03823,32140.0,y3Fo_J2,a5D_J3,5.0,7.0,37105.22503422892,415.93
2716.12543,14030.0,y3Fo_J2,a5D_J2,5.0,5.0,36817.15096640437,704.01
2719.83295,142000000.0,y5Po_J3,a5D_J4,7.0,9.0,36766.96394166414,0.0
2721.70824,104000000.0,y5Po_J2,a5D_J3,5.0,7.0,36741.63105741268,415.93
2724.38401,56900000.0,y5Po_J1,a5D_J2,3.0,5.0,36705.545045391744,704.01
2725.82254,31000.0,y3Fo_J4,a5D_J4,9.0,9.0,36686.17400162815,0.0
2729.77722,156000.0,y3Fo_J2,a5D_J1,5.0,3.0,36633.02604598627,888.13
2738.11916,72500000.0,y5Po_J1,a5D_J1,3.0,3.0,36521.420053902984,888.13
2742.82677,410000.0,y3Fo_J3,a5D_J2,7.0,5.0,36458.73705687946,704.01
2743.21653,47000000.0,y5Po_J2,a5D_J2,5.0,5.0,36453.5569490754,704.01
2744.87903,30900000.0,y5Po_J1,a5D_J0,3.0,1.0,36431.478002147145,978.07
2750.95361,27400000.0,y5Po_J3,a5D_J3,7.0,7.0,36351.0310157502,415.93
2757.08121,660000.0,y3Fo_J4,a5D_J3,9.0,7.0,36270.24102057553,415.93
2757.14271,14100000.0,y5Po_J2,a5D_J1,5.0,3.0,36269.43198743601,888.13
2772.92847,4120000.0,y5Po_J3,a5D_J2,7.0,5.0,36062.95693592125,704.01
2795.82936,93000.0,z3Go_J4,a5D_J4,9.0,9.0,35767.56200886308,0.0
2803.99222,60000.0,z3Go_J3,a5D_J3,7.0,7.0,35663.437040492216,415.93
2808.07196,167000.0,z5Go_J3,a5D_J4,7.0,9.0,35611.623001285196,0.0
2821.63325,61000.0,z5Go_J2,a5D_J3,5.0,7.0,35440.4669706809,415.93
2826.51906,88000.0,z3Go_J5,a5D_J4,11.0,9.0,35379.20596933813,0.0
2828.72396,148000.0,z3Go_J4,a5D_J3,9.0,7.0,35351.62900801392,415.93
2836.29029,324000.0,z5Go_J4,a5D_J4,9.0,9.0,35257.321985895884,0.0
2841.25698,412000.0,z5Go_J3,a5D_J3,7.0,7.0,35195.69004279226,415.93
2844.75654,273000.0,z5Go_J2,a5D_J2,5.0,5.0,35152.39304098761,704.01
2859.73558,212000.0,z5Go_J2,a5D_J1,5.0,3.0,34968.26794035272,888.13
2864.70437,570000.0,z5Go_J3,a5D_J2,7.0,5.0,34907.61596457508,704.01
2870.14964,925000.0,z5Go_J4,a5D_J3,9.0,7.0,34841.38896674391,415.93
2875.01568,930000.0,z5Go_J5,a5D_J4,11.0,9.0,34782.41899536353,0.0
2913.01023,2600000.0,y5Fo_J3,a5D_J4,7.0,9.0,34328.75002296165,0.0
2929.86409,5100000.0,y5Fo_J2,a5D_J3,5.0,7.0,34131.27603471873,415.93
2937.76227,14000000.0,y5Fo_J4,a5D_J4,9.0,9.0,34039.51402779776,0.0
2942.20287,5120000.0,y5Fo_J1,a5D_J2,3.0,5.0,33988.13896201522,704.01
2948.73764,18300000.0,y5Fo_J3,a5D_J3,7.0,7.0,33912.81701141781,415.93
2954.80315,18900000.0,y5Fo_J2,a5D_J2,5.0,5.0,33843.20204207174,704.01
2958.22857,17700000.0,y5Fo_J1,a5D_J1,3.0,3.0,33804.01400152795,888.13
2966.1205,11600000.0,y5Fo_J1,a5D_J0,3.0,1.0,33714.071967069445,978.07
2967.76459,27200000.0,y5Fo_J5,a5D_J4,11.0,9.0,33695.3949571856,0.0
2970.22677,3660000.0,z3Po_J0,a5D_J1,1.0,3.0,33667.463040204166,888.13
2970.96679,10800000.0,y5Fo_J2,a5D_J1,5.0,3.0,33659.077017148345,888.13
2970.98559,3430000.0,z3Po_J1,a5D_J2,3.0,5.0,33658.86402700459,704.01
2974.00043,13500000.0,y5Fo_J3,a5D_J2,7.0,5.0,33624.74295271033,704.01
2974.1032,18300000.0,y5Fo_J4,a5D_J3,9.0,7.0,33623.58105125606,415.93
2982.31505,6530000.0,z3Po_J2,a5D_J3,5.0,7.0,33530.998007738985,415.93
2984.44023,27900000.0,y5Do_J3,a5D_J4,7.0,9.0,33507.12103220777,0.0
2987.32725,219000.0,z3Po_J1,a5D_J1,3.0,3.0,33474.738999552195,888.13
2995.30004,43900000.0,y5Do_J2,a5D_J3,5.0,7.0,33385.637052907725,415.93
2995.37541,1490000.0,z3Po_J1,a5D_J0,3.0,1.0,33384.7969994519,978.07
3001.82265,64200000.0,y5Do_J1,a5D_J2,3.0,5.0,33313.09396309605,704.01
3008.15897,2730000.0,z3Po_J2,a5D_J2,5.0,5.0,33242.923993474986,704.01
3009.0148,107000000.0,y5Do_J0,a5D_J1,1.0,3.0,33233.46897462917,888.13
3018.50625,6810000.0,y5Do_J1,a5D_J1,3.0,3.0,33128.969005778934,888.13
3021.37049,19400000.0,y5Do_J2,a5D_J2,5.0,5.0,33097.56295395604,704.01
3021.51874,75900000.0,y5Do_J4,a5D_J4,9.0,9.0,33095.939030978836,0.0
3021.95255,45500000.0,y5Do_J3,a5D_J3,7.0,7.0,33091.18801352457,415.93
3024.91328,4870000.0,z3Po_J2,a5D_J1,5.0,3.0,33058.798961668086,888.13
3026.72352,34800000.0,y5Do_J1,a5D_J0,3.0,1.0,33039.026967352474,978.07
3038.2727,29100000.0,y5Do_J2,a5D_J1,5.0,3.0,32913.43795440087,888.13
3048.49107,28400000.0,y5Do_J3,a5D_J2,7.0,5.0,32803.113968118,704.01
3058.33471,31300000.0,x5Do_J4,a5F_J5,9.0,11.0,32697.532965579165,6928.27
3059.97496,16300000.0,y5Do_J4,a5D_J3,9.0,7.0,32680.005982794053,415.93
3068.13537,31200000.0,x5Do_J3,a5F_J4,7.0,9.0,32593.086008457314,7376.76
3100.86779,8200000.0,x5Do_J4,a5F_J4,9.0,9.0,32249.036970389505,7376.76
3101.56467,13500000.0,x5Do_J3,a5F_J3,7.0,7.0,32241.79104413128,7728.06
3126.55683,2120000.0,x5Do_J3,a5F_J2,7.0,5.0,31984.065998889902,7985.78
3135.01815,790000.0,x5Do_J4,a5F_J3,9.0,7.0,31897.74196363106,7728.06
3144.1529,12700.0,z3Fo_J3,a5D_J4,7.0,9.0,31805.069021929565,0.0
3152.77834,13700.0,z3Fo_J2,a5D_J3,5.0,7.0,31718.056017855033,415.93
3181.67538,123000.0,z3Fo_J2,a5D_J2,5.0,5.0,31429.98202412466,704.01
3185.81563,235000.0,z3Fo_J3,a5D_J3,7.0,7.0,31389.135974576155,415.93
3192.58187,237000.0,z3Do_J3,a5D_J4,7.0,9.0,31322.61100010569,0.0
3194.14903,443000.0,z3Fo_J4,a5D_J4,9.0,9.0,31307.243043697308,0.0
3197.91077,194000.0,z3Do_J2,a5D_J3,5.0,7.0,31270.415965983942,415.93
3200.4243,123000.0,z3Fo_J2,a5D_J1,5.0,3.0,31245.85699464911,888.13
3201.70935,59000.0,z3Do_J1,a5D_J2,3.0,5.0,31233.316041007907,704.01
3215.32429,222000.0,z3Fo_J3,a5D_J2,7.0,5.0,31101.06197095286,704.01
3220.69583,18000.0,z3Do_J1,a5D_J1,3.0,3.0,31049.19100665274,888.13
3224.77151,57300.0,y3Do_J1,a5F_J2,3.0,5.0,31009.94898085043,7985.78
3227.64496,14600.0,z3Do_J2,a5D_J2,5.0,5.0,30982.341998359076,704.01
3230.05251,167000.0,z3Do_J1,a5D_J0,3.0,1.0,30959.249018524468,978.07
3231.02017,109500.0,y3Do_J2,a5F_J3,5.0,7.0,30949.97701608282,7728.06
3235.5467,115000.0,z3Do_J3,a5D_J3,7.0,7.0,30906.67799664273,415.93
3237.15634,218000.0,z3Fo_J4,a5D_J3,9.0,7.0,30891.309994623247,415.93
3242.43491,4674.0,y3Do_J1,a5F_J1,3.0,3.0,30841.02002837121,8154.71
3246.9021,155000.0,y3Do_J3,a5F_J4,7.0,9.0,30798.587983296446,7376.76
3246.94121,168000.0,z3Do_J2,a5D_J1,5.0,3.0,30798.217008678144,888.13
3258.15128,13820.0,y3Do_J2,a5F_J2,5.0,5.0,30692.251957066892,7985.78
3265.98822,89000.0,z3Do_J3,a5D_J2,7.0,5.0,30618.604007089772,704.01
3284.36423,6095.0,y3Do_J3,a5F_J3,7.0,7.0,30447.292991009097,7728.06
3312.40248,1746.0,y3Do_J3,a5F_J2,7.0,5.0,30189.568026165707,7985.78
3356.48198,6939.0,y3Fo_J2,a5F_J3,5.0,7.0,29793.099023281513,7728.06
3357.2842,8708.0,y3Fo_J3,a5F_J4,7.0,9.0,29785.979989421212,7376.76
3360.4515,16470.0,y3Fo_J4,a5F_J5,9.0,11.0,29757.906043280196,6928.27
3385.77057,3375.0,y3Fo_J2,a5F_J2,5.0,5.0,29535.373981350425,7985.78
3397.35248,20060.0,y3Fo_J3,a5F_J3,7.0,7.0,29434.684975637265,7728.06
3397.95046,430000.0,y5Po_J2,a5F_J3,5.0,7.0,29429.504984601805,7728.06
3398.61299,129000.0,y5Po_J1,a5F_J2,3.0,5.0,29423.767958940214,7985.78
3402.49471,720000.0,y5Po_J3,a5F_J4,7.0,9.0,29390.199992404985,7376.76
3405.24704,302000.0,y3Fo_J2,a5F_J1,5.0,3.0,29366.44502596792,8154.71
3411.87352,31000.0,y3Fo_J4,a5F_J4,9.0,9.0,29309.410039326427,7376.76
3418.23792,81630.0,y5Po_J1,a5F_J1,3.0,3.0,29254.838996110604,8154.71
3427.36186,999000.0,y3Fo_J3,a5F_J2,7.0,5.0,29176.960030710034,7985.78
3427.97046,280000.0,y5Po_J2,a5F_J2,5.0,5.0,29171.779969189112,7985.78
3441.59182,17100000.0,z5Po_J3,a5D_J4,7.0,9.0,29056.321966734566,0.0
3441.97479,12400000.0,z5Po_J2,a5D_J3,5.0,7.0,29053.089026256344,415.93
3443.65602,175000.0,y5Po_J3,a5F_J3,7.0,7.0,29038.90499493036,7728.06
3444.86343,7920000.0,z5Po_J1,a5D_J2,3.0,5.0,29028.726982073713,704.01
3447.93689,19530.0,y5Po_J2,a5F_J1,5.0,3.0,29002.851035362197,8154.71
